train_mae,train_r2,train_spearmanr,train_mse,train_rmse,train_mean_loss,train_sum_loss,val_mae,val_r2,val_spearmanr,val_mse,val_rmse,val_mean_loss,val_sum_loss,test_mae,test_r2,test_spearmanr,test_mse,test_rmse,test_mean_loss,test_sum_loss
0.34409,0.74915,0.87552,0.22267,0.47188,0.34409307554847435,519.9246371537447,0.34346,0.7536,0.88456,0.22564,0.47501,0.34360254178812477,111.32722353935242,0.33964,0.74809,0.87546,0.21754,0.46641,0.3396209167937438,110.03717704117298
0.33997,0.75525,0.87787,0.21726,0.46611,0.3399628049624353,513.6837982982397,0.35637,0.7326,0.8713,0.24487,0.49484,0.35632701093951863,115.44995154440403,0.35538,0.73089,0.8639,0.23238,0.48206,0.35526314708921647,115.10525965690613
0.33758,0.75743,0.87955,0.21533,0.46403,0.3375753880257168,510.07641130685806,0.33646,0.74625,0.88149,0.23237,0.48204,0.3364241597369129,109.00142775475979,0.32842,0.76204,0.88234,0.20549,0.4533,0.3284330587420199,106.41231103241444
0.33365,0.76274,0.88223,0.21061,0.45893,0.33364288144992094,504.13439387083054,0.34841,0.72949,0.87273,0.24772,0.49771,0.34839933807099305,112.88138553500175,0.34141,0.74636,0.87245,0.21903,0.468,0.3413864683221888,110.60921573638916
0.32976,0.76684,0.88424,0.20697,0.45494,0.3297758591068572,498.29132311046124,0.333,0.76067,0.88689,0.21916,0.46814,0.3329158515473943,107.86473590135574,0.33135,0.7571,0.87857,0.20976,0.45799,0.3312710058633928,107.33180589973927
0.32786,0.77033,0.88588,0.20388,0.45153,0.32786612192934356,495.4057102352381,0.35059,0.73261,0.88728,0.24486,0.49483,0.3504396520647002,113.54244726896286,0.34164,0.7468,0.88508,0.21865,0.4676,0.3417754748629199,110.73525385558605
0.324,0.77535,0.88875,0.19942,0.44656,0.32400564292185674,489.57252645492554,0.3434,0.73965,0.89206,0.23841,0.48828,0.34335572083975063,111.2472535520792,0.33409,0.7513,0.8898,0.21476,0.46342,0.33428711421143864,108.30902500450611
0.32059,0.7784,0.89039,0.19671,0.44352,0.3205839926678956,484.40241292119026,0.34116,0.75652,0.88208,0.22296,0.47219,0.3411316919014042,110.52666817605495,0.341,0.74799,0.87181,0.21762,0.4665,0.3410126508478029,110.48809887468815
0.31825,0.78208,0.89191,0.19345,0.43982,0.31824188059643355,480.8634815812111,0.32166,0.77653,0.89312,0.20464,0.45237,0.32178717111179855,104.25904344022274,0.31877,0.77086,0.88605,0.19787,0.44483,0.31875199337064486,103.27564585208893
0.31763,0.78332,0.89214,0.19234,0.43857,0.31763055293391196,479.93976548314095,0.3442,0.74503,0.88449,0.23349,0.4832,0.3442761611055445,111.54547619819641,0.34043,0.74321,0.87686,0.22175,0.4709,0.3404087990430402,110.29245088994503
