train_accuracy,train_precision,train_recall,train_f1,train_auc,train_mean_loss,train_sum_loss,val_accuracy,val_precision,val_recall,val_f1,val_auc,val_mean_loss,val_sum_loss,test_accuracy,test_precision,test_recall,test_f1,test_auc,test_mean_loss,test_sum_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/model/hidden_dimension,config/model/modules/1/times,config/optimizer/base_learning_rate
1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1715723791,,False,31,1b2ef0be,2024-05-14_23-56-31,115.82968997955322,3618.9168305397034,32628,AT-MB-PC-E13,127.0.0.1,3618.9168305397034,31,256,3,0.001
1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1715723905,,False,32,1b2ef0be,2024-05-14_23-58-25,114.82214570045471,3733.738976240158,32628,AT-MB-PC-E13,127.0.0.1,3733.738976240158,32,256,3,0.001
1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1715724019,,False,33,1b2ef0be,2024-05-15_00-00-19,113.50576591491699,3847.244742155075,32628,AT-MB-PC-E13,127.0.0.1,3847.244742155075,33,256,3,0.001
1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1715724136,,False,34,1b2ef0be,2024-05-15_00-02-16,117.00013375282288,3964.244875907898,32628,AT-MB-PC-E13,127.0.0.1,3964.244875907898,34,256,3,0.001
1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1715724252,,False,35,1b2ef0be,2024-05-15_00-04-12,115.72503805160522,4079.969913959503,32628,AT-MB-PC-E13,127.0.0.1,4079.969913959503,35,256,3,0.001
1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1715724367,,False,36,1b2ef0be,2024-05-15_00-06-07,115.57700610160828,4195.546920061111,32628,AT-MB-PC-E13,127.0.0.1,4195.546920061111,36,256,3,0.001
1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1715724483,,False,37,1b2ef0be,2024-05-15_00-08-03,115.45077991485596,4310.997699975967,32628,AT-MB-PC-E13,127.0.0.1,4310.997699975967,37,256,3,0.001
1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1715724597,,False,38,1b2ef0be,2024-05-15_00-09-57,113.78288149833679,4424.780581474304,32628,AT-MB-PC-E13,127.0.0.1,4424.780581474304,38,256,3,0.001
1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1715724711,,False,39,1b2ef0be,2024-05-15_00-11-51,114.70570063591003,4539.486282110214,32628,AT-MB-PC-E13,127.0.0.1,4539.486282110214,39,256,3,0.001
1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1715724827,,False,40,1b2ef0be,2024-05-15_00-13-47,115.29904341697693,4654.785325527191,32628,AT-MB-PC-E13,127.0.0.1,4654.785325527191,40,256,3,0.001
0.99955,0.99911,0.99998,0.99955,0.99974,0.01093088583486327,18.801123635964824,1.0,1.0,1.0,1.0,1.0,1.7256108561446096e-10,6.332991842050717e-08,1.0,1.0,1.0,1.0,1.0,7.858820833060435e-10,2.868469604067059e-07,1715724940,,False,41,1b2ef0be,2024-05-15_00-15-40,113.70926070213318,4768.494586229324,32628,AT-MB-PC-E13,127.0.0.1,4768.494586229324,41,256,3,0.001
1.0,1.0,1.0,1.0,1.0,3.4437209931227006e-10,5.923200108171045e-07,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,7.144391319034278e-11,2.6077028314475115e-08,1715725054,,False,42,1b2ef0be,2024-05-15_00-17-34,114.16295218467712,4882.6575384140015,32628,AT-MB-PC-E13,127.0.0.1,4882.6575384140015,42,256,3,0.001
1.0,1.0,1.0,1.0,1.0,5.956130156265078e-11,1.0244543868775935e-07,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.041254836393046e-11,7.450580152834618e-09,1715725169,,False,43,1b2ef0be,2024-05-15_00-19-29,114.39807057380676,4997.055608987808,32628,AT-MB-PC-E13,127.0.0.1,4997.055608987808,43,256,3,0.001
1.0,1.0,1.0,1.0,1.0,2.3824527105664482e-11,4.097818662174291e-08,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.041254836393046e-11,7.450580152834618e-09,1715725282,,False,44,1b2ef0be,2024-05-15_00-21-22,113.58209156990051,5110.637700557709,32628,AT-MB-PC-E13,127.0.0.1,5110.637700557709,44,256,3,0.001
1.0,1.0,1.0,1.0,1.0,1.0829331359300777e-11,1.8626449937997336e-08,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1715725397,,False,45,1b2ef0be,2024-05-15_00-23-17,114.63240504264832,5225.270105600357,32628,AT-MB-PC-E13,127.0.0.1,5225.270105600357,45,256,3,0.001
1.0,1.0,1.0,1.0,1.0,8.663465293993742e-12,1.4901160305669237e-08,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1715725510,,False,46,1b2ef0be,2024-05-15_00-25-10,113.43536114692688,5338.705466747284,32628,AT-MB-PC-E13,127.0.0.1,5338.705466747284,46,256,3,0.001
1.0,1.0,1.0,1.0,1.0,4.331732646996871e-12,7.450580152834618e-09,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1715725625,,False,47,1b2ef0be,2024-05-15_00-27-05,114.02043175697327,5452.725898504257,32628,AT-MB-PC-E13,127.0.0.1,5452.725898504257,47,256,3,0.001
1.0,1.0,1.0,1.0,1.0,1.0829331617492178e-12,1.8626450382086546e-09,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1715725738,,False,48,1b2ef0be,2024-05-15_00-28-58,113.8866856098175,5566.612584114075,32628,AT-MB-PC-E13,127.0.0.1,5566.612584114075,48,256,3,0.001
1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1715725852,,False,49,1b2ef0be,2024-05-15_00-30-52,113.12151551246643,5679.734099626541,32628,AT-MB-PC-E13,127.0.0.1,5679.734099626541,49,256,3,0.001
1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1715725965,,False,50,1b2ef0be,2024-05-15_00-32-45,113.85581374168396,5793.589913368225,32628,AT-MB-PC-E13,127.0.0.1,5793.589913368225,50,256,3,0.001
1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1715726080,,False,51,1b2ef0be,2024-05-15_00-34-40,114.4348566532135,5908.024770021439,32628,AT-MB-PC-E13,127.0.0.1,5908.024770021439,51,256,3,0.001
1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1715726194,,False,52,1b2ef0be,2024-05-15_00-36-34,114.04315781593323,6022.067927837372,32628,AT-MB-PC-E13,127.0.0.1,6022.067927837372,52,256,3,0.001
1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1715726307,,False,53,1b2ef0be,2024-05-15_00-38-27,113.05403757095337,6135.121965408325,32628,AT-MB-PC-E13,127.0.0.1,6135.121965408325,53,256,3,0.001
1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1715726421,,False,54,1b2ef0be,2024-05-15_00-40-21,114.13449835777283,6249.256463766098,32628,AT-MB-PC-E13,127.0.0.1,6249.256463766098,54,256,3,0.001
1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1715726534,,False,55,1b2ef0be,2024-05-15_00-42-14,112.85168528556824,6362.108149051666,32628,AT-MB-PC-E13,127.0.0.1,6362.108149051666,55,256,3,0.001
1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1715726649,,False,56,1b2ef0be,2024-05-15_00-44-09,114.89658951759338,6477.00473856926,32628,AT-MB-PC-E13,127.0.0.1,6477.00473856926,56,256,3,0.001
1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1715726764,,False,57,1b2ef0be,2024-05-15_00-46-04,115.03136324882507,6592.036101818085,32628,AT-MB-PC-E13,127.0.0.1,6592.036101818085,57,256,3,0.001
